idnr;uthestenavn
30013513;Cabinett     
30013514;Angela     
30013515;Amaconia Højbogård OL 8867     
30013516;Millred     
30013517;Cred Aristo     
30013518;Myklejenta     
30013519;VICKIE     
30013520;Rocky     
30013521;DANA     
30013522;Zera Caprise Dream     
30013524;Galinia     
30013528;Greek Envoy 
30013532;Habanero XI     
30013533;Poseida II     
30013534;Mariscal X     
30013535;Betunera 1976     
30013536;Poseido VII     
30013537;Insignia     
30013538;Opalo II     
30013539;Salinero III     
30013540;Decidida VIII     
30013541;Festival     
30013542;Esperado 1979     
30013543;Despeinada     
30013544;Madama     
30013545;Abalorio I 
30013546;Taeubchen     
30013547;Cecilia     
30013548;Ido     
30013549;Cameron     
30013550;Little Cracker II     
30013551;Lady Yankee     
30013552;Skimmer     
30013553;Nitkita Netzer     
30013554;Dancing Dane 
30013555;Blue And Yellow 
30013556;Le Roi 
30013558;Spirit Scot     
30013560;Cash And Carry     
30013561;Romero Gracias     
30013562;City Rabbit 
30013565;Duriana 
30013566;Lisa's Monet     
30013567;Nordlis Miss Molly     
30013568;Njal xx OLH 548     
30013569;Sunny     
30013570;Marina DS 157     
30013571;Bada     
30013572;Nordlis Miss molly     
30013573;Viljar     
30013574;Prinsesse Fiona     
30013575;Olgunsa     
30013576;Mangold DH 153 OLH 505     
30013577;Iben NR.2050     
30013578;Kaja 
30013579;Macki DS 3607     
30013580;Macki S-Grammy DS 10438 
30013581;Pontiac F26     
30013582;My Dear Friend 
30013584;Holtan Kongen     
30013585;Be My Joy     
30013586;Lois Lane 
30013587;Lady Jennie 
30013588;Final Miss 
30013589;Red And White 
30013590;Hermion 
30013591;Creag An Tuirc 
30013592;Global Inspiration 
30013593;Master Kid 
30013594;Freckles Hustler     
30013595;Jae Bar Gada     
30013596;Hustlers Jae Bar     
30013597;Ylb Princess     
30013598;Jacs Gentle Princess     
30013599;Verona     
30013600;Fasching     
30013601;Cecinette     
30013602;Recina     
30013603;Andrang xx 
30013604;Wichte xx 
30013605;Wise Girl xx 
30013606;Bellvue 
30013607;Samarant 
30013608;HERKULES     
30013609;RUPIDO     
30013610;Garland Ås 
30013611;Simple Challenge 
30013612;Lotsa Muscle 
30013613;Boston Bean 
30013614;Boston Harbor 
30013615;Decent Interval 
30013616;Psychic Friend 
30013617;Que Pasa 
30013618;Raymouna 
30013619;Thorpey Boko 
30013620;Miss Charcoal 
30013621;Mystical Kitten 
30013622;Resi     
30013623;Rena     
30013624;Reika Kastanjegård     
30013625;Rie Kastanjegård     
30013626;Aramir     
30013627;PEDRO     
30013628;FINAL CONCLUSION     
30013629;Valley Victor 
30013630;Captivating Charm 
30013631;Torpa Maia     
30013632;Hoslisvarten     
30013633;Kvams Maija     
30013634;Rontin     
30013635;Tangen Svarta     
30013636;Julianne     
30013637;Aurdalsblesa     
30013638;Aurdalsprinsen     
30013639;Nordengbruna     
30013640;Trønder Raua     
30013641;Erslands Frøya     
30013642;Bjerkmoens Birk     
30013643;Tirilill     
30013644;Vetlebrunen     
30013645;Flying Falk 
30013646;Engelill     
30013647;Spjotums Klompen     
30013648;Spjotums Mai     
30013649;Korsvoll Gutten     
30013650;Smiset Viljar     
30013651;Smiset Grim     
30013652;Lias Trym     
30013653;Øisokka     
30013654;Langseter Svarten     
30013655;Randlill     
30013656;Harby Morgan     
30013657;Hexeberg Solan     
30013658;Olstad Brun     
30013659;Lias Saga     
30013660;Kaisa     
30013661;Vesleline     
30013662;Auggesokken     
30013663;Klibber Raui     
30013664;Norlin     
30013665;Høyholms Faksa     
30013666;Skogstad Pia     
30013667;Audnes Trym     
30013668;Moson     
30013669;Ulanka 
30013670;Grimaldi 
30013671;Ascana 
30013672;Easy Dragon 
30013673;Marcella 
30013674;Borghese 
30013675;Ariel     
30013676;Julia November 
30013677;Reado November 
30013678;Embargo As 
30013679;Pelle     
30013680;Granida 
30013681;Rimi Hazelaar 
30013682;Olivia Heikant 
30013683;Vancover Heikant 
30013684;Amos     
30013685;Stormsprang     
30013686;Lord Zirup     
30013687;Red Flash     
30013692;Geilostølens Viktor     
30013693;Mobrona     
30013694;Storøy Lindis     
30013695;Storøy Lenda     
30013696;Kampli Frøkna     
30013697;Hovselden     
30013698;Vaebrona     
30013699;Garmos Trym     
30013700;Øvjusjura     
30013701;Varna Pluto 
30013702;Faraway 
30013703;Miss Lavec O.S. 
30013704;NOTT     
30013705;Idlewild 
30013706;Yankee Bailey 
30013707;Royal Axe 
30013708;Daisy Chip 
30013709;Imfine 
30013710;Umpire Boko 
30013711;Judigutten     
30013712;Silver Prins     
30013713;URSULE     
30013714;Steps Big Mac     
30013715;Olivia S.     
30013716;Uffe Mac     
30013717;Olivia S.     
30013718;Olivia S.     
30013719;Uffe Mac 
